M,C,minority_run,minority_win,white_run,state,state.lower,year,phase,sl_chamber,sl_district,group,white_pct,unusual,south,deepsouth,rimsouth,section5,litigated,proper
16.00688917303828,19.3489346662627,0,0,1,SC,sc,2012,2,8,13,Black,75.761132990003,0,1,1,0,1,0,1
32.842778793418645,16.954687712614,0,0,1,SC,sc,2012,2,9,13,Black,79.4155667437747,0,1,1,0,1,0,1
0.39103675745519695,14.8024036583983,0,0,1,SC,sc,2012,2,8,14,Black,80.9471018783305,0,1,1,0,1,0,1
5.573545896126539,21.008346568445198,0,0,1,SC,sc,2012,2,9,14,Black,75.45027540296691,0,1,1,0,1,0,1
23.149468843803888,16.5435915780867,0,0,1,SC,sc,2012,3,8,16,Black,77.0722608340147,0,1,1,0,1,0,1
13.191763191763187,40.717740716481096,0,0,1,SC,sc,2012,2,8,17,Black,55.623016072958094,0,1,1,0,1,0,1
95.43911862990811,63.898813777333096,1,1,0,SC,sc,2012,3,8,19,Black,30.193459534605697,0,1,1,0,1,0,1
0,11.202778983934,0,0,1,SC,sc,2012,2,9,2,Black,84.5352216172885,0,1,1,0,1,0,1
0.5128715121895766,17.9556630814947,0,0,1,SC,sc,2012,3,8,24,Black,75.8079785415626,0,1,1,0,1,0,1
0.22266717298995786,29.750409664007798,0,0,1,SC,sc,2012,2,8,27,Black,66.32900421175229,0,1,1,0,1,0,1
21.2788843613171,19.5833929291222,0,0,1,SC,sc,2012,3,8,28,Black,75.1804127062556,0,1,1,0,1,0,1
99.21405630077462,46.1569475990162,1,1,1,SC,sc,2012,2,8,29,Black,49.7359119437687,0,1,1,0,1,0,1
0,16.122591943958,0,0,1,SC,sc,2012,2,9,29,Black,79.79684763572679,0,1,1,0,1,0,1
